classlabel,lowerclass,lowerclasslabel,broader,lowerclassbroaderlabel,upperclasslabel
BegroeidTerreindeel,http://www.geostandaarden.nl/imgeo/def/2.1#FysiekVoorkomenBegroeidTerrein_loofbos,loofbos,,,BegroeidTerreindeel
BegroeidTerreindeel,http://www.geostandaarden.nl/imgeo/def/2.1#FysiekVoorkomenBegroeidTerreinPlus_griend_en_hakhout,griend en hakhout,http://www.geostandaarden.nl/imgeo/def/2.1#FysiekVoorkomenBegroeidTerrein_loofbos,loofbos,
BegroeidTerreindeel,http://www.geostandaarden.nl/imgeo/def/2.1#FysiekVoorkomenBegroeidTerrein_moeras,moeras,,,BegroeidTerreindeel
BegroeidTerreindeel,http://www.geostandaarden.nl/imgeo/def/2.1#FysiekVoorkomenBegroeidTerrein_naaldbos,naaldbos,,,BegroeidTerreindeel
BegroeidTerreindeel,http://www.geostandaarden.nl/imgeo/def/2.1#FysiekVoorkomenBegroeidTerrein_rietland,rietland,,,BegroeidTerreindeel
BegroeidTerreindeel,http://www.geostandaarden.nl/imgeo/def/2.1#FysiekVoorkomenBegroeidTerrein_struiken,struiken,,,BegroeidTerreindeel
BegroeidTerreindeel,http://www.geostandaarden.nl/imgeo/def/2.1#FysiekVoorkomenBegroeidTerrein_transitie,transitie,,,BegroeidTerreindeel
Bord,http://www.geostandaarden.nl/imgeo/def/2.1#TypeBord_niet_bgt,niet-bgt,,,Bord
FunctioneelGebied,http://www.geostandaarden.nl/imgeo/def/2.1#TypeFunctioneelGebied_kering,kering,,,FunctioneelGebied
FunctioneelGebied,http://www.geostandaarden.nl/imgeo/def/2.1#TypeFunctioneelGebied_niet_bgt,niet-bgt,,,FunctioneelGebied
Installatie,http://www.geostandaarden.nl/imgeo/def/2.1#TypeInstallatie_niet_bgt,niet-bgt,,,Installatie
Kast,http://www.geostandaarden.nl/imgeo/def/2.1#TypeKast_niet_bgt,niet-bgt,,,Kast
Kunstwerkdeel,http://www.geostandaarden.nl/imgeo/def/2.1#TypeKunstwerk_gemaal,gemaal,,,Kunstwerkdeel
Kunstwerkdeel,http://www.geostandaarden.nl/imgeo/def/2.1#TypeKunstwerk_hoogspanningsmast,hoogspanningsmast,,,Kunstwerkdeel
Kunstwerkdeel,http://www.geostandaarden.nl/imgeo/def/2.1#TypeKunstwerk_niet_bgt,niet-bgt,,,Kunstwerkdeel
Kunstwerkdeel,http://www.geostandaarden.nl/imgeo/def/2.1#TypeKunstwerk_perron,perron,,,Kunstwerkdeel
Kunstwerkdeel,http://www.geostandaarden.nl/imgeo/def/2.1#TypeKunstwerk_sluis,sluis,,,Kunstwerkdeel
Kunstwerkdeel,http://www.geostandaarden.nl/imgeo/def/2.1#TypeKunstwerk_steiger,steiger,,,Kunstwerkdeel
Kunstwerkdeel,http://www.geostandaarden.nl/imgeo/def/2.1#TypeKunstwerk_strekdam,strekdam,,,Kunstwerkdeel
Kunstwerkdeel,http://www.geostandaarden.nl/imgeo/def/2.1#TypeKunstwerk_stuw,stuw,,,Kunstwerkdeel
Kunstwerkdeel,http://www.geostandaarden.nl/imgeo/def/2.1#TypeKunstwerk_transitie,transitie,,,Kunstwerkdeel
Mast,http://www.geostandaarden.nl/imgeo/def/2.1#TypeMast_niet_bgt,niet-bgt,,,Mast
OnbegroeidTerreindeel,http://www.geostandaarden.nl/imgeo/def/2.1#FysiekVoorkomenOnbegroeidTerrein_erf,erf,,,OnbegroeidTerreindeel
OnbegroeidTerreindeel,http://www.geostandaarden.nl/imgeo/def/2.1#FysiekVoorkomenOnbegroeidTerrein_gesloten_verharding,gesloten verharding,,,OnbegroeidTerreindeel
OnbegroeidTerreindeel,http://www.geostandaarden.nl/imgeo/def/2.1#FysiekVoorkomenOnbegroeidTerreinPlus_asfalt,asfalt,http://www.geostandaarden.nl/imgeo/def/2.1#FysiekVoorkomenOnbegroeidTerrein_gesloten_verharding,gesloten verharding,
OnbegroeidTerreindeel,http://www.geostandaarden.nl/imgeo/def/2.1#FysiekVoorkomenOnbegroeidTerreinPlus_cementbeton,cementbeton,http://www.geostandaarden.nl/imgeo/def/2.1#FysiekVoorkomenOnbegroeidTerrein_gesloten_verharding,gesloten verharding,
OnbegroeidTerreindeel,http://www.geostandaarden.nl/imgeo/def/2.1#FysiekVoorkomenOnbegroeidTerreinPlus_kunststof,kunststof,http://www.geostandaarden.nl/imgeo/def/2.1#FysiekVoorkomenOnbegroeidTerrein_gesloten_verharding,gesloten verharding,
OnbegroeidTerreindeel,http://www.geostandaarden.nl/imgeo/def/2.1#FysiekVoorkomenOnbegroeidTerrein_half_verhard,half verhard,,,OnbegroeidTerreindeel
OnbegroeidTerreindeel,http://www.geostandaarden.nl/imgeo/def/2.1#FysiekVoorkomenOnbegroeidTerreinPlus_grasklinkers,grasklinkers,http://www.geostandaarden.nl/imgeo/def/2.1#FysiekVoorkomenOnbegroeidTerrein_half_verhard,half verhard,
OnbegroeidTerreindeel,http://www.geostandaarden.nl/imgeo/def/2.1#FysiekVoorkomenOnbegroeidTerreinPlus_gravel,gravel,http://www.geostandaarden.nl/imgeo/def/2.1#FysiekVoorkomenOnbegroeidTerrein_half_verhard,half verhard,
OnbegroeidTerreindeel,http://www.geostandaarden.nl/imgeo/def/2.1#FysiekVoorkomenOnbegroeidTerreinPlus_grind,grind,http://www.geostandaarden.nl/imgeo/def/2.1#FysiekVoorkomenOnbegroeidTerrein_half_verhard,half verhard,
OnbegroeidTerreindeel,http://www.geostandaarden.nl/imgeo/def/2.1#FysiekVoorkomenOnbegroeidTerreinPlus_puin,puin,http://www.geostandaarden.nl/imgeo/def/2.1#FysiekVoorkomenOnbegroeidTerrein_half_verhard,half verhard,
OnbegroeidTerreindeel,http://www.geostandaarden.nl/imgeo/def/2.1#FysiekVoorkomenOnbegroeidTerreinPlus_schelpen,schelpen,http://www.geostandaarden.nl/imgeo/def/2.1#FysiekVoorkomenOnbegroeidTerrein_half_verhard,half verhard,
OnbegroeidTerreindeel,http://www.geostandaarden.nl/imgeo/def/2.1#FysiekVoorkomenOnbegroeidTerrein_onverhard,onverhard,,,OnbegroeidTerreindeel
OnbegroeidTerreindeel,http://www.geostandaarden.nl/imgeo/def/2.1#FysiekVoorkomenOnbegroeidTerreinPlus_boomschors,boomschors,http://www.geostandaarden.nl/imgeo/def/2.1#FysiekVoorkomenOnbegroeidTerrein_onverhard,onverhard,
OnbegroeidTerreindeel,http://www.geostandaarden.nl/imgeo/def/2.1#FysiekVoorkomenOnbegroeidTerreinPlus_zand,zand,http://www.geostandaarden.nl/imgeo/def/2.1#FysiekVoorkomenOnbegroeidTerrein_onverhard,onverhard,
